SEASON_WYID_x,COMPETITION_WYID,EVENT_WYID,MATCH_WYID,MATCHPERIOD,MINUTE,SECOND,PRIMARYTYPE,LOCATIONX,LOCATIONY,TEAM_WYID,PLAYER_WYID,POSSESSION_WYID,POSSESSIONDURATION,POSSESSIONEVENTSNUMBER,POSSESSIONEVENTINDEX,POSSESSIONSTARTLOCATIONX,POSSESSIONSTARTLOCATIONY,POSSESSIONENDLOCATIONX,POSSESSIONENDLOCATIONY,POSSESSIONTEAM_WYID,COMPETITIONNAME,MATCHLABEL,DATE,SEASON_WYID_y,SHORTNAME,SHOTISGOAL,SHOTPOSTSHOTXG,SHOTXG,GROUNDDUELOPPONENT_WYID,GROUNDDUELDUELTYPE,KEPTPOSSESSION,PROGRESSEDWITHBALL,STOPPEDPROGRESS,RECOVEREDPOSSESSION,TAKEON,GROUNDDUELSIDE,GROUNDDUELRELATEDDUEL_WYID,CARRYPROGRESSION,CARRYENDLOCATIONX,CARRYENDLOCATIONY,ACCURATE,ANGLE,HEIGHT,LENGTH,RECIPIENT_WYID,ENDLOCATIONX,ENDLOCATIONY,POSSESSIONTYPE1,POSSESSIONTYPE2,POSSESSIONTYPE3,POSSESSIONTYPE4,POSSESSIONTYPE5,ATTACKXG,SECONDARYTYPE1,SECONDARYTYPE2,SECONDARYTYPE3,SECONDARYTYPE4,SECONDARYTYPE5,SECONDARYTYPE6,SECONDARYTYPE7,SECONDARYTYPE8,SECONDARYTYPE9,SECONDARYTYPE10,TEAMNAME
191708,329,2649654244,5728154,1H,11,57,shot,90.0,44.0,7471,522671,2649654239.0,2.3745135,4.0,3.0,65.0,91.0,90.0,44.0,7471.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,D. Mortensen,False,0.09899,0.09307,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,free_kick_cross,,0.0931,head_shot,opportunity,shot_after_free_kick,touch_in_box,,,,,,,Fremad Amager
191708,329,2649654311,5728154,1H,15,35,shot,84.0,50.0,7471,334827,2649654297.0,21.376396,9.0,8.0,65.0,16.0,84.0,50.0,7471.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,J. Simonsen,False,,0.02644,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,,,0.0264,,,,,,,,,,,Fremad Amager
191708,329,2649654338,5728154,1H,18,7,shot,86.0,28.0,7491,624722,2649654330.0,11.3010195,7.0,6.0,28.0,6.0,86.0,28.0,7491.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,F. Warrer,False,,0.01095,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0109,shot_after_throw_in,touch_in_box,,,,,,,,,Skive
191708,329,2649654339,5728154,1H,18,9,shot,80.0,45.0,7491,636972,2649654339.0,0.0,1.0,0.0,80.0,45.0,80.0,45.0,7491.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,O. Amby,False,,0.09868,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0987,,,,,,,,,,,Skive
191708,329,2649654435,5728154,1H,21,58,shot,75.0,24.0,7491,636972,2649654435.0,0.0,1.0,0.0,75.0,24.0,75.0,24.0,7491.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,O. Amby,False,,0.01457,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0146,,,,,,,,,,,Skive
191708,329,2649654679,5728154,1H,34,8,shot,76.0,34.0,7491,639696,2649654679.0,0.0,1.0,0.0,76.0,34.0,76.0,34.0,7491.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,L. Nielsen,False,,0.03112,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0311,,,,,,,,,,,Skive
191708,329,2649654694,5728154,1H,36,20,free_kick,70.0,42.0,7491,636972,2649654694.0,0.1380155,2.0,0.0,70.0,42.0,74.0,46.0,7491.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,O. Amby,False,,0.0006313,,,,,,,,,,,,,,,,,,,,set_piece_attack,free_kick,direct_free_kick,,,,free_kick_shot,shot,,,,,,,,,Skive
191708,329,2649654716,5728154,1H,37,32,shot,79.0,29.0,7491,636972,2649654713.0,2.1723105,4.0,3.0,100.0,0.0,79.0,29.0,7491.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,O. Amby,False,,0.003514,,,,,,,,,,,,,,,,,,,,corner,set_piece_attack,attack,,,0.0035,shot_after_corner,,,,,,,,,,Skive
191708,329,2649654714,5728154,1H,40,46,shot,96.0,67.0,7471,764468,2649654706.0,11.284637,9.0,8.0,44.0,82.0,96.0,67.0,7471.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,M. Gernsøe,False,,0.09476,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0948,opportunity,touch_in_box,,,,,,,,,Fremad Amager
191708,329,2649654801,5728154,1H,45,0,shot,84.0,66.0,7471,291584,2649654795.0,12.9867865,5.0,4.0,48.0,87.0,84.0,66.0,7471.0,2nd Division,"Skive - Fremad Amager, 0 - 0",2025-08-22 19:00:00,191708,J. Brinch,False,,0.03928,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,,,0.0393,,,,,,,,,,,Fremad Amager
