SEASON_WYID_x,COMPETITION_WYID,EVENT_WYID,MATCH_WYID,MATCHPERIOD,MINUTE,SECOND,PRIMARYTYPE,LOCATIONX,LOCATIONY,TEAM_WYID,PLAYER_WYID,POSSESSION_WYID,POSSESSIONDURATION,POSSESSIONEVENTSNUMBER,POSSESSIONEVENTINDEX,POSSESSIONSTARTLOCATIONX,POSSESSIONSTARTLOCATIONY,POSSESSIONENDLOCATIONX,POSSESSIONENDLOCATIONY,POSSESSIONTEAM_WYID,COMPETITIONNAME,MATCHLABEL,DATE,SEASON_WYID_y,SHORTNAME,SHOTISGOAL,SHOTPOSTSHOTXG,SHOTXG,GROUNDDUELOPPONENT_WYID,GROUNDDUELDUELTYPE,KEPTPOSSESSION,PROGRESSEDWITHBALL,STOPPEDPROGRESS,RECOVEREDPOSSESSION,TAKEON,GROUNDDUELSIDE,GROUNDDUELRELATEDDUEL_WYID,CARRYPROGRESSION,CARRYENDLOCATIONX,CARRYENDLOCATIONY,ACCURATE,ANGLE,HEIGHT,LENGTH,RECIPIENT_WYID,ENDLOCATIONX,ENDLOCATIONY,POSSESSIONTYPE1,POSSESSIONTYPE2,POSSESSIONTYPE3,POSSESSIONTYPE4,POSSESSIONTYPE5,ATTACKXG,SECONDARYTYPE1,SECONDARYTYPE2,SECONDARYTYPE3,SECONDARYTYPE4,SECONDARYTYPE5,SECONDARYTYPE6,SECONDARYTYPE7,SECONDARYTYPE8,SECONDARYTYPE9,SECONDARYTYPE10,TEAMNAME
191804,1570,2639253814,5744718,1H,4,28,shot,91.0,39.0,27145,1021170,2639253813.0,1.0111365,2.0,1.0,75.0,36.0,91.0,39.0,27145.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,S. Bager,False,0.1888,0.2247,,,,,,,,,,,,,,,,,,,,attack,,,,,0.2247,opportunity,touch_in_box,,,,,,,,,AGF U17
191804,1570,2639253853,5744718,1H,7,38,shot,76.0,37.0,27145,882052,2639253850.0,5.5951405,6.0,5.0,79.0,0.0,76.0,37.0,27145.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,W. Maarouf,False,,0.02132,,,,,,,,,,,,,,,,,,,,attack,throw_in,,,,0.0213,opportunity,shot_after_throw_in,,,,,,,,,AGF U17
191804,1570,2639254151,5744718,1H,9,3,shot,76.0,49.0,30685,932109,2639254146.0,11.517455,5.0,4.0,91.0,100.0,76.0,49.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,F. Carstensen,False,,0.002262,,,,,,,,,,,,,,,,,,,,attack,throw_in,,,,0.0023,shot_after_throw_in,,,,,,,,,,Horsens U17
191804,1570,2639254413,5744718,1H,14,13,shot,92.0,40.0,30685,911353,2639254411.0,2.3614215,4.0,3.0,76.0,59.0,92.0,40.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,O. Høyer,False,0.6426,0.4393,,,,,,,,,,,,,,,,,,,,attack,,,,,0.4393,opportunity,touch_in_box,,,,,,,,,Horsens U17
191804,1570,2639254444,5744718,1H,18,0,free_kick,82.0,35.0,30685,1100248,2639254444.0,2.8882885,4.0,0.0,82.0,35.0,93.0,53.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,T. Kolici,False,,0.2455,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,direct_free_kick,,0.8397,free_kick_shot,shot,,,,,,,,,Horsens U17
191804,1570,2639254446,5744718,1H,18,3,shot,93.0,53.0,30685,769165,2639254444.0,2.8882885,4.0,3.0,82.0,35.0,93.0,53.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,B. Jepsen,False,0.8791,0.5942,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,direct_free_kick,,0.8397,opportunity,shot_after_free_kick,touch_in_box,,,,,,,,Horsens U17
191804,1570,2639254018,5744718,1H,22,12,shot,88.0,55.0,27145,1021645,2639254004.0,16.4061955,10.0,9.0,25.0,47.0,88.0,55.0,27145.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,J. Friis,False,0.2178,0.2083,,,,,,,,,,,,,,,,,,,,attack,,,,,0.2083,opportunity,touch_in_box,,,,,,,,,AGF U17
191804,1570,2639254543,5744718,1H,24,39,shot,86.0,54.0,30685,1100248,2639254528.0,27.8194995,13.0,12.0,66.0,74.0,86.0,54.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,T. Kolici,False,0.09714,0.1565,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,,,0.1565,opportunity,touch_in_box,,,,,,,,,Horsens U17
191804,1570,2639254237,5744718,1H,29,42,shot,96.0,44.0,27145,844652,2639254235.0,1.2320555,4.0,3.0,85.0,84.0,96.0,44.0,27145.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,W. Laugesen,True,0.606,0.2488,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,free_kick_cross,,0.2488,goal,head_shot,opportunity,shot_after_free_kick,touch_in_box,,,,,,AGF U17
191804,1570,2639254618,5744718,1H,31,31,shot,90.0,33.0,30685,932109,2639254610.0,12.543765,7.0,6.0,28.0,36.0,90.0,33.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,F. Carstensen,False,0.4122,0.123,,,,,,,,,,,,,,,,,,,,attack,,,,,0.123,opportunity,touch_in_box,,,,,,,,,Horsens U17
191804,1570,2639254708,5744718,1H,41,15,shot,78.0,40.0,30685,932109,2639254706.0,6.5964155,3.0,2.0,41.0,90.0,78.0,40.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,F. Carstensen,False,,0.09032,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0903,opportunity,,,,,,,,,,Horsens U17
191804,1570,2639254751,5744718,1H,45,23,shot,90.0,64.0,30685,961783,2639254750.0,0.8130815,2.0,1.0,99.0,18.0,90.0,64.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,J. Ask,False,0.04156,0.05378,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,free_kick_cross,,0.0538,head_shot,opportunity,shot_after_free_kick,touch_in_box,,,,,,,Horsens U17
191804,1570,2639254817,5744718,2H,49,31,shot,82.0,49.0,30685,945989,2639254805.0,15.8892955,11.0,10.0,24.0,41.0,82.0,49.0,30685.0,U17 Ligaen,"AGF U17 - Horsens U17, 2 - 0",2025-08-16 15:15:00,191804,Y. Abbas,False,0.06932,0.1098,,,,,,,,,,,,,,,,,,,,attack,,,,,0.1098,opportunity,,,,,,,,,,Horsens U17
