SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
A. Amrani,OB U19,"AaB U19 - OB U19, 3 - 3 (P)",4,2,1,50.0,25.0
A. Amrani,OB U19,"OB U19 - Sønderjyske U19, 4 - 2",4,1,0,25.0,0.0
A. Aslani,Lyngby U19,"Brøndby U19 - Lyngby U19, 2 - 0",6,6,3,100.0,50.0
A. Berthelsen,Nordsjælland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",6,3,2,50.0,33.33
A. Berthelsen,Nordsjælland U19,"Nordsjælland U19 - AaB U19, 1 - 0",4,2,1,50.0,25.0
A. Christensen,København U19,"København U19 - Horsens U19, 3 - 1",5,4,1,80.0,20.0
A. Christensen,København U19,"Vejle U19 - København U19, 2 - 2 (P)",4,3,1,75.0,25.0
A. Collatz,Randers U19,"Randers U19 - Silkeborg U19, 0 - 2",7,3,2,42.86,28.57
A. Daramy,København U19,"København U19 - Horsens U19, 3 - 1",2,0,0,0.0,0.0
A. Daramy,København U19,"Vejle U19 - København U19, 2 - 2 (P)",2,0,0,0.0,0.0
A. Escobar,Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",7,4,1,57.14,14.29
A. Escobar,Brøndby U19,"Silkeborg U19 - Brøndby U19, 3 - 1",4,2,1,50.0,25.0
A. Fuglsang,AGF U19,"AGF U19 - Esbjerg U19, 1 - 2",7,3,1,42.86,14.29
A. Fuglsang,AGF U19,"AGF U19 - Horsens U19, 1 - 2",4,3,0,75.0,0.0
A. Holm,SønderjyskE U19,"Sønderjyske U19 - Vejle U19, 2 - 3",2,0,0,0.0,0.0
A. Jørgensen,Lyngby U19,"Brøndby U19 - Lyngby U19, 2 - 0",4,2,1,50.0,25.0
A. Klaster,Vejle U19,"Sønderjyske U19 - Vejle U19, 2 - 3",4,2,2,50.0,50.0
A. Klaster,Vejle U19,"Vejle U19 - København U19, 2 - 2 (P)",4,2,1,50.0,25.0
A. Knudsen,OB U19,"AaB U19 - OB U19, 3 - 3 (P)",2,1,0,50.0,0.0
A. Knudsen,OB U19,"OB U19 - Sønderjyske U19, 4 - 2",5,4,1,80.0,20.0
A. Kristiansen,Esbjerg U19,"AGF U19 - Esbjerg U19, 1 - 2",7,4,1,57.14,14.29
A. Kristiansen,Esbjerg U19,"Esbjerg U19 - Midtjylland U19, 1 - 2",5,3,2,60.0,40.0
A. Lodberg,Midtjylland U19,"Esbjerg U19 - Midtjylland U19, 1 - 2",2,1,0,50.0,0.0
A. Lodberg,Midtjylland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",8,6,2,75.0,25.0
A. Lund Jørgensen,Esbjerg U19,"AGF U19 - Esbjerg U19, 1 - 2",6,4,3,66.67,50.0
A. Lund Jørgensen,Esbjerg U19,"Esbjerg U19 - Midtjylland U19, 1 - 2",2,1,0,50.0,0.0
A. Mandrup,Horsens U19,"AGF U19 - Horsens U19, 1 - 2",4,3,0,75.0,0.0
A. Mandrup,Horsens U19,"København U19 - Horsens U19, 3 - 1",3,3,0,100.0,0.0
A. Muhammed Raheel,Vejle U19,"Sønderjyske U19 - Vejle U19, 2 - 3",2,1,1,50.0,50.0
A. Najar,Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",9,4,0,44.44,0.0
A. Najar,Brøndby U19,"Silkeborg U19 - Brøndby U19, 3 - 1",9,7,3,77.78,33.33
A. Raffnsøe Hoeg,SønderjyskE U19,"Sønderjyske U19 - Vejle U19, 2 - 3",10,6,1,60.0,10.0
A. Rrahmani,SønderjyskE U19,"OB U19 - Sønderjyske U19, 4 - 2",7,2,0,28.57,0.0
A. Skyttehave Rytter,Midtjylland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",1,1,1,100.0,100.0
A. Velasquez,Midtjylland U19,"Esbjerg U19 - Midtjylland U19, 1 - 2",1,1,0,100.0,0.0
A. Vladimir,Midtjylland U19,"Esbjerg U19 - Midtjylland U19, 1 - 2",4,1,0,25.0,0.0
A. Vladimir,Midtjylland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",4,3,1,75.0,25.0
A. Vogtmann,SønderjyskE U19,"OB U19 - Sønderjyske U19, 4 - 2",8,6,2,75.0,25.0
A. Vogtmann,SønderjyskE U19,"Sønderjyske U19 - Vejle U19, 2 - 3",14,8,1,57.14,7.14
A. Yaz Ates,Randers U19,"Randers U19 - Silkeborg U19, 0 - 2",3,3,1,100.0,33.33
B. Pihl Jørgensen,AaB U19,"AaB U19 - OB U19, 3 - 3 (P)",1,0,0,0.0,0.0
B. Pihl Jørgensen,AaB U19,"Nordsjælland U19 - AaB U19, 1 - 0",2,2,0,100.0,0.0
B. Skovgaard,AaB U19,"AaB U19 - OB U19, 3 - 3 (P)",2,1,0,50.0,0.0
B. Skovgaard,AaB U19,"Nordsjælland U19 - AaB U19, 1 - 0",5,2,0,40.0,0.0
C. E. Lauridsen,Esbjerg U19,"AGF U19 - Esbjerg U19, 1 - 2",5,2,1,40.0,20.0
